# Warden 0.1.0 - frontend dependency license report (offline)
# Support: docs/SECURITY.md (section 10/13), docs/TEST_STRATEGY.md section 4 (release gate)
# Generated (UTC date): 2026-09-04
# Generator: scripts/frontend_licenses.py (npm ls --json + node_modules package.json walk)
# Interpreter: C:\Users\franck\Documents\ChatGPT\warden\backend\.venv\Scripts\python.exe
# Source of truth for the package set: frontend/package-lock.json (npm ci) and the installed
#   node_modules tree; scope = full installed tree including dev tooling. The shipped nginx
#   image runs `npm ci --omit=dev` (release pipeline), so the runtime-only set is a subset
#   of this report - over-covering is intentional and honest.
# License value order: package.json license (string) -> licenses[] -> UNKNOWN.
# UNKNOWN licenses must be reviewed manually before release.

packages on disk: 300; npm ls --json set: 300;
on disk but not in npm tree: 1; in npm tree but no package.json found: 1;
UNKNOWN licenses: 0
name	version	license	copies
@vue/compiler-ssr	3.5.42	MIT	1
@vue/devtools-api	8.2.1	MIT	1
@vue/devtools-kit	8.2.1	MIT	1
@vue/devtools-shared	8.2.1	MIT	1
@vue/eslint-config-prettier	10.2.0	MIT	1
@vue/eslint-config-typescript	14.9.0	MIT	1
@vue/language-core	3.3.11	MIT	1
@vue/reactivity	3.5.42	MIT	1
@vue/runtime-core	3.5.42	MIT	1
@vue/runtime-dom	3.5.42	MIT	1
@vue/server-renderer	3.5.42	MIT	1
@vue/shared	3.5.42	MIT	1
@vue/test-utils	2.5.0	MIT	1
@vueuse/core	14.4.0	MIT	1
@vueuse/metadata	14.4.0	MIT	1
@vueuse/shared	14.4.0	MIT	1
@xterm/addon-fit	0.10.0	MIT	1
@xterm/xterm	5.5.0	MIT	1
abbrev	5.0.0	ISC	1
acorn	8.18.0	MIT	1
acorn-jsx	5.3.2	MIT	1
agent-base	7.1.4	MIT	1
ajv	6.15.0	MIT	1
alien-signals	3.2.1	MIT	1
ansi-colors	4.1.3	MIT	1
argparse	2.0.1	Python-2.0	1
assertion-error	2.0.1	MIT	1
ast-kit	2.2.0	MIT	1
ast-walker-scope	0.9.0	MIT	1
async-validator	4.2.5	MIT	1
balanced-match	4.0.4	MIT	1
balanced-match	1.0.2	MIT	1
birpc	2.9.0	MIT	1
boolbase	1.0.0	ISC	1
brace-expansion	5.0.9	MIT	1
brace-expansion	2.1.4	MIT	1
braces	3.0.3	MIT	1
buffer-image-size	0.6.4	MIT	1
chai	6.2.2	MIT	1
change-case	5.4.4	MIT	1
chokidar	5.0.0	MIT	1
colorette	1.4.0	MIT	1
commander	14.0.3	MIT	1
confbox	0.2.4	MIT	1
confbox	0.1.8	MIT	1
config-chain	1.1.13	MIT	1
convert-source-map	2.0.0	MIT	1
cross-spawn	7.0.6	MIT	1
cssesc	3.0.0	MIT	1
csstype	3.2.3	MIT	1
dayjs	1.11.23	MIT	1
debug	4.4.3	MIT	1
deep-is	0.1.4	MIT	1
detect-libc	2.1.2	Apache-2.0	1
echarts	6.1.0	Apache-2.0	1
editorconfig	3.0.2	MIT	1
element-plus	2.14.5	MIT	1
entities	7.0.1	BSD-2-Clause	1
es-module-lexer	2.3.2	MIT	1
escape-string-regexp	4.0.0	MIT	1
eslint	10.9.1	MIT	1
eslint-config-prettier	10.1.8	MIT	1
eslint-plugin-prettier	5.5.6	MIT	1
eslint-plugin-vue	10.10.0	MIT	1
eslint-scope	9.1.2	BSD-2-Clause	1
eslint-visitor-keys	5.0.1	Apache-2.0	1
eslint-visitor-keys	3.4.3	Apache-2.0	1
espree	11.2.0	BSD-2-Clause	1
esquery	1.7.0	BSD-3-Clause	1
esrecurse	4.3.0	BSD-2-Clause	1
estraverse	5.3.0	BSD-2-Clause	1
estree-walker	2.0.2	MIT	1
estree-walker	3.0.3	MIT	1
esutils	2.0.3	BSD-2-Clause	1
expect-type	1.4.0	Apache-2.0	1
exsolve	1.1.1	MIT	1
fast-deep-equal	3.1.3	MIT	1
fast-diff	1.3.0	Apache-2.0	1
fast-glob	3.3.3	MIT	1
fast-json-stable-stringify	2.1.0	MIT	1
fast-levenshtein	2.0.6	MIT	1
fastq	1.20.3	ISC	1
fdir	6.5.0	MIT	1
file-entry-cache	8.0.0	MIT	1
fill-range	7.1.1	MIT	1
find-up	5.0.0	MIT	1
flat-cache	4.0.1	MIT	1
flatted	3.4.4	ISC	1
glob	13.0.6	BlueOak-1.0.0	1
glob-parent	6.0.2	ISC	1
glob-parent	5.1.2	ISC	1
globals	17.11.0	MIT	1
happy-dom	20.12.0	MIT	1
hookable	5.5.3	MIT	1
https-proxy-agent	7.0.6	MIT	1
ignore	5.3.2	MIT	1
ignore	7.0.8	MIT	1
imurmurhash	0.1.4	MIT	1
index-to-position	1.2.0	MIT	1
ini	1.3.8	ISC	1
is-extglob	2.1.1	MIT	1
is-glob	4.0.3	MIT	1
is-number	7.0.0	MIT	1
isexe	2.0.0	ISC	1
js-beautify	2.0.3	MIT	1
js-cookie	3.0.8	MIT	1
js-levenshtein	1.1.6	MIT	1
js-tokens	4.0.0	MIT	1
js-yaml	4.3.1	MIT	1
json-buffer	3.0.1	MIT	1
json-schema-traverse	0.4.1	MIT	1
json-schema-traverse	1.0.0	MIT	1
json-stable-stringify-without-jsonify	1.0.1	MIT	1
keyv	4.5.4	MIT	1
levn	0.4.1	MIT	1
lightningcss	1.33.0	MPL-2.0	1
lightningcss-win32-x64-msvc	1.33.0	MPL-2.0	1
local-pkg	1.2.1	MIT	1
locate-path	6.0.0	MIT	1
lodash	4.18.1	MIT	1
lodash-es	4.18.1	MIT	1
lodash-unified	1.0.3	MIT	1
lru-cache	11.5.2	BlueOak-1.0.0	1
magic-string	0.30.21	MIT	1
magic-string-ast	1.0.3	MIT	1
memoize-one	6.0.0	MIT	1
merge2	1.4.1	MIT	1
micromatch	4.0.8	MIT	1
minimatch	10.2.6	BlueOak-1.0.0	1
minimatch	5.1.9	ISC	1
minipass	7.1.3	BlueOak-1.0.0	1
mlly	1.8.2	MIT	1
ms	2.1.3	MIT	1
muggle-string	0.4.1	MIT	1
nanoid	3.3.18	MIT	1
natural-compare	1.4.0	MIT	1
nopt	10.0.1	ISC	1
normalize-wheel-es	1.2.0	BSD-3-Clause	1
nostics	1.2.0	MIT	1
nth-check	2.1.1	BSD-2-Clause	1
obug	2.1.4	MIT	1
openapi-typescript	7.13.0	MIT	1
optionator	0.9.4	MIT	1
p-limit	3.1.0	MIT	1
p-locate	5.0.0	MIT	1
parse-json	8.3.0	MIT	1
path-browserify	1.0.1	MIT	1
path-exists	4.0.0	MIT	1
path-key	3.1.1	MIT	1
path-scurry	2.0.2	BlueOak-1.0.0	1
pathe	2.0.3	MIT	1
perfect-debounce	2.1.0	MIT	1
picocolors	1.1.1	ISC	1
picomatch	2.3.2	MIT	1
picomatch	4.0.7	MIT	7
pinia	4.0.3	MIT	1
pkg-types	2.3.1	MIT	1
pkg-types	1.3.1	MIT	1
playwright	1.62.1	Apache-2.0	1
playwright-core	1.62.1	Apache-2.0	1
pluralize	8.0.0	MIT	1
postcss	8.5.26	MIT	1
postcss-selector-parser	7.1.5	MIT	1
prelude-ls	1.2.1	MIT	1
prettier	3.9.6	MIT	1
prettier-linter-helpers	1.0.1	MIT	1
proto-list	1.2.4	ISC	1
punycode	2.3.1	MIT	1
quansync	0.2.11	MIT	1
queue-microtask	1.2.3	MIT	1
readdirp	5.1.1	MIT	1
require-from-string	2.0.2	MIT	1
reusify	1.1.0	MIT	1
rolldown	1.2.6	MIT	1
run-parallel	1.2.0	MIT	1
scule	1.3.0	MIT	1
semver	7.8.5	ISC	1
shebang-command	2.0.0	MIT	1
shebang-regex	3.0.0	MIT	1
siginfo	2.0.0	ISC	1
source-map-js	1.2.1	BSD-3-Clause	1
stackback	0.0.2	MIT	1
std-env	4.2.0	MIT	1
supports-color	10.2.2	MIT	1
synckit	0.11.13	MIT	1
tinybench	2.9.0	MIT	1
tinyexec	1.3.0	MIT	1
tinyglobby	0.2.17	MIT	1
tinyrainbow	3.1.1	MIT	1
to-regex-range	5.0.1	MIT	1
ts-api-utils	2.5.0	MIT	1
tslib	2.3.0	0BSD	1
type-check	0.4.0	MIT	1
type-fest	4.41.0	(MIT OR CC0-1.0)	1
typescript	6.0.3	Apache-2.0	1
typescript-eslint	8.69.0	MIT	1
ufo	1.6.4	MIT	1
undici-types	7.18.2	MIT	1
unplugin	3.3.0	MIT	1
unplugin-utils	0.3.2	MIT	1
uri-js	4.4.1	BSD-2-Clause	1
uri-js-replace	1.0.1	MIT	1
util-deprecate	1.0.2	MIT	1
vite	8.2.2	MIT	1
vitest	4.1.11	MIT	1
vscode-uri	3.2.0	MIT	1
vue	3.5.42	MIT	1
vue-component-type-helpers	3.3.11	MIT	1
vue-eslint-parser	10.4.1	MIT	1
vue-router	5.3.0	MIT	1
vue-tsc	3.3.11	MIT	1
webpack-virtual-modules	0.6.2	MIT	1
whatwg-mimetype	3.0.0	MIT	1
which	2.0.2	ISC	1
why-is-node-running	2.3.0	MIT	1
word-wrap	1.2.5	MIT	1
ws	8.21.3	MIT	1
xml-name-validator	5.0.0	Apache-2.0	1
yaml-ast-parser	0.0.43	Apache-2.0	1
yargs-parser	21.1.1	ISC	1
yocto-queue	0.1.0	MIT	1
zrender	6.1.0	BSD-3-Clause	1

# NOTE - installed but not reported by npm ls --json (extraneous or pruned):
#   @sxzz/popperjs-es@2.11.8

# NOTE - npm ls --json entries without a readable node_modules package.json:
#   @popperjs/core@2.11.8
